address,instruction,basic_block_address,binary
100b0,"LUI a5, 0",100b0,nbody
100b4,"ADDI, a5, a5, 0",100b0,nbody
100b8,"BEQ a5, zero, 16",100b0,nbody
100c8,"JALR, zero, ra, 0",100c8,nbody
100cc,"AUIPC gp, 9",100cc,nbody
100d0,"ADDI, gp, gp, 1780",100cc,nbody
100d4,"ADDI, a0, gp, 1864",100cc,nbody
100d8,"AUIPC a2, 10",100cc,nbody
100dc,"ADDI, a2, a2, -280",100cc,nbody
100e0,"SUB a2, a2, a0",100cc,nbody
100e4,"ADDI, a1, zero, 0",100cc,nbody
100e8,"JAL ra, 8732",100cc,nbody
100ec,"AUIPC a0, 7",100ec,nbody
100f0,"ADDI, a0, a0, -968",100ec,nbody
100f4,"BEQ a0, zero, 16",100ec,nbody
100f8,"AUIPC a0, 4",100f8,nbody
100fc,"ADDI, a0, a0, 300",100f8,nbody
10100,"JAL ra, 27684",100f8,nbody
10104,"JAL ra, 8548",10104,nbody
10108,"LW a0, 0(sp)",10108,nbody
1010c,"ADDI, a1, sp, 8",10108,nbody
10110,"ADDI, a2, zero, 0",10108,nbody
10114,"JAL ra, 3064",10108,nbody
10118,"JAL zero, 8348",10118,nbody
1011c,"LBU a4, 1912(gp)",1011c,nbody
10120,"BNE a4, zero, 72",1011c,nbody
10124,"ADDI, sp, sp, -16",10124,nbody
10128,"SD s0, 0(sp)",10124,nbody
1012c,"ADDI, s0, a5, 0",10124,nbody
10130,"LUI a5, 0",10124,nbody
10134,"SD ra, 8(sp)",10124,nbody
10138,"ADDI, a5, a5, 0",10124,nbody
1013c,"BEQ a5, zero, 20",10124,nbody
10150,"ADDI, a5, zero, 1",10150,nbody
10154,"LD ra, 8(sp)",10150,nbody
10158,"SB a5, 1912(gp)",10150,nbody
1015c,"LD s0, 0(sp)",10150,nbody
10160,"ADDI, sp, sp, 16",10150,nbody
10164,"JALR, zero, ra, 0",10150,nbody
1016c,"LUI a5, 0",1016c,nbody
10170,"ADDI, a5, a5, 0",1016c,nbody
10174,"BEQ a5, zero, 24",1016c,nbody
1018c,"JALR, zero, ra, 0",1018c,nbody
10190,"ADDI, sp, sp, -64",10190,nbody
10194,"SD ra, 56(sp)",10190,nbody
10198,"SD s0, 48(sp)",10190,nbody
1019c,"SD s1, 40(sp)",10190,nbody
101a0,"ADDI, s0, sp, 64",10190,nbody
101a4,"SD a0, -56(s0)",10190,nbody
101a8,"ADDI, a5, a1, 0",10190,nbody
101ac,"SW a5, -60(s0)",10190,nbody
101b0,"SW zero, -36(s0)",10190,nbody
101b4,"JAL zero, 216",10190,nbody
101b8,"SW zero, -40(s0)",101b8,nbody
101bc,"JAL zero, 180",101b8,nbody
101c0,"LD a4, -56(s0)",101c0,nbody
101c4,"LWU a5, -40(s0)",101c0,nbody
101c8,"ADDI, a5, a5, 4",101c0,nbody
101cc,"SLLI, a5, a5, 3",101c0,nbody
101d0,"ADD a5, a4, a5",101c0,nbody
101d4,"LD s1, 0(a5)",101c0,nbody
101d8,"LWU a5, -36(s0)",101c0,nbody
101dc,"SLLI, a5, a5, 6",101c0,nbody
101e0,"LD a4, -56(s0)",101c0,nbody
101e4,"ADD a4, a4, a5",101c0,nbody
101e8,"LWU a5, -40(s0)",101c0,nbody
101ec,"ADDI, a5, a5, 4",101c0,nbody
101f0,"SLLI, a5, a5, 3",101c0,nbody
101f4,"ADD a5, a4, a5",101c0,nbody
101f8,"LD a3, 0(a5)",101c0,nbody
101fc,"LWU a5, -36(s0)",101c0,nbody
10200,"SLLI, a5, a5, 6",101c0,nbody
10204,"LD a4, -56(s0)",101c0,nbody
10208,"ADD a5, a4, a5",101c0,nbody
1020c,"LD a5, 56(a5)",101c0,nbody
10210,"ADDI, a1, a5, 0",101c0,nbody
10214,"ADDI, a0, a3, 0",101c0,nbody
10218,"JAL ra, 5884",101c0,nbody
1021c,"ADDI, a5, a0, 0",1021c,nbody
10220,"ADDI, a4, a5, 0",1021c,nbody
10224,"LUI a5, 23",1021c,nbody
10228,"LD a1, 1464(a5)",1021c,nbody
1022c,"ADDI, a0, a4, 0",1021c,nbody
10230,"JAL ra, 4832",1021c,nbody
10234,"ADDI, a5, a0, 0",10234,nbody
10238,"ADDI, a1, a5, 0",10234,nbody
1023c,"ADDI, a0, s1, 0",10234,nbody
10240,"JAL ra, 6652",10234,nbody
10244,"ADDI, a5, a0, 0",10244,nbody
10248,"ADDI, a3, a5, 0",10244,nbody
1024c,"LD a4, -56(s0)",10244,nbody
10250,"LWU a5, -40(s0)",10244,nbody
10254,"ADDI, a5, a5, 4",10244,nbody
10258,"SLLI, a5, a5, 3",10244,nbody
1025c,"ADD a5, a4, a5",10244,nbody
10260,"SD a3, 0(a5)",10244,nbody
10264,"LW a5, -40(s0)",10244,nbody
10268,"ADDIW, a5, a5, 1",10244,nbody
1026c,"SW a5, -40(s0)",10244,nbody
10270,"LW a5, -40(s0)",10244,nbody
10274,"ADDIW, a4, a5, 0",10244,nbody
10278,"ADDI, a5, zero, 2",10244,nbody
1027c,"BGEU a5, a4, -188",10244,nbody
10270,"LW a5, -40(s0)",10270,nbody
10274,"ADDIW, a4, a5, 0",10270,nbody
10278,"ADDI, a5, zero, 2",10270,nbody
1027c,"BGEU a5, a4, -188",10270,nbody
10280,"LW a5, -36(s0)",10280,nbody
10284,"ADDIW, a5, a5, 1",10280,nbody
10288,"SW a5, -36(s0)",10280,nbody
1028c,"LW a4, -36(s0)",10280,nbody
10290,"LW a5, -60(s0)",10280,nbody
10294,"ADDIW, a4, a4, 0",10280,nbody
10298,"ADDIW, a5, a5, 0",10280,nbody
1029c,"BLTU a4, a5, -228",10280,nbody
1028c,"LW a4, -36(s0)",1028c,nbody
10290,"LW a5, -60(s0)",1028c,nbody
10294,"ADDIW, a4, a4, 0",1028c,nbody
10298,"ADDIW, a5, a5, 0",1028c,nbody
1029c,"BLTU a4, a5, -228",1028c,nbody
102a0,"ADDI, zero, zero, 0",102a0,nbody
102a4,"ADDI, zero, zero, 0",102a0,nbody
102a8,"LD ra, 56(sp)",102a0,nbody
102ac,"LD s0, 48(sp)",102a0,nbody
102b0,"LD s1, 40(sp)",102a0,nbody
102b4,"ADDI, sp, sp, 64",102a0,nbody
102b8,"JALR, zero, ra, 0",102a0,nbody
102bc,"ADDI, sp, sp, -112",102bc,nbody
102c0,"SD ra, 104(sp)",102bc,nbody
102c4,"SD s0, 96(sp)",102bc,nbody
102c8,"SD s1, 88(sp)",102bc,nbody
102cc,"SD s2, 80(sp)",102bc,nbody
102d0,"ADDI, s0, sp, 112",102bc,nbody
102d4,"SD a0, -104(s0)",102bc,nbody
102d8,"ADDI, a5, a1, 0",102bc,nbody
102dc,"SW a5, -108(s0)",102bc,nbody
102e0,"SD zero, -40(s0)",102bc,nbody
102e4,"SW zero, -44(s0)",102bc,nbody
102e8,"JAL zero, 708",102bc,nbody
102ec,"LWU a5, -44(s0)",102ec,nbody
102f0,"SLLI, a5, a5, 6",102ec,nbody
102f4,"LD a4, -104(s0)",102ec,nbody
102f8,"ADD a5, a4, a5",102ec,nbody
102fc,"LD s1, 56(a5)",102ec,nbody
10300,"LWU a5, -44(s0)",102ec,nbody
10304,"SLLI, a5, a5, 6",102ec,nbody
10308,"LD a4, -104(s0)",102ec,nbody
1030c,"ADD a5, a4, a5",102ec,nbody
10310,"LD a3, 32(a5)",102ec,nbody
10314,"LWU a5, -44(s0)",102ec,nbody
10318,"SLLI, a5, a5, 6",102ec,nbody
1031c,"LD a4, -104(s0)",102ec,nbody
10320,"ADD a5, a4, a5",102ec,nbody
10324,"LD a5, 32(a5)",102ec,nbody
10328,"ADDI, a1, a5, 0",102ec,nbody
1032c,"ADDI, a0, a3, 0",102ec,nbody
10330,"JAL ra, 5604",102ec,nbody
10334,"ADDI, a5, a0, 0",10334,nbody
10338,"ADDI, s2, a5, 0",10334,nbody
1033c,"LWU a5, -44(s0)",10334,nbody
