basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,57.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,67.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,52.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,55.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,132.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,137.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,103.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,131.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,103.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,104.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,139.0
10190,9,3,3,0,0,0,1,0,0,0,4,4,0,0,1,171,42.567251461988306
101b4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,175104,20.99720737390351
101b8,18,0,6,4,0,1,0,0,0,3,12,1,1,1,0,175104,72.61289290935673
101f0,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,171,44.05263157894737
10200,7,3,2,1,0,0,0,1,0,0,7,0,0,0,0,171,44.77777777777778
1021c,7,2,4,0,0,0,0,1,0,0,6,1,0,0,0,1,104.0
10238,9,2,4,0,0,0,1,0,0,0,5,3,0,0,1,1,132.0
1025c,7,2,3,0,0,0,0,1,0,0,6,1,0,0,0,1,140.0
10278,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,138.0
10290,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,131.0
102a8,8,2,3,0,0,0,1,0,0,0,3,4,0,0,1,2,62.0
102c8,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,171,43.54970760233918
102d0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,171,20.49122807017544
102d4,9,0,3,0,0,1,0,0,0,0,6,2,0,1,0,171,21.099415204678362
