basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,20.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,67.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,59.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,55.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,52.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,20.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,130.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,138.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,103.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,132.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,57.0
10190,13,2,5,0,0,1,0,0,0,0,7,4,1,1,0,1,102.0
101c4,8,0,4,0,0,0,1,0,0,0,6,0,1,0,1,1,129.0
101e4,9,0,4,1,0,0,1,0,0,1,6,0,1,0,1,1,137.0
10208,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,102.0
10210,8,0,4,0,0,0,1,0,0,0,6,0,1,0,1,1,129.0
10230,9,0,4,1,0,0,1,0,0,1,6,0,1,0,1,1,139.0
10254,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,197.0
1025c,8,0,4,0,0,0,1,0,0,0,6,0,1,0,1,1,135.0
1027c,9,0,4,1,0,0,1,0,0,1,6,0,1,0,1,1,138.0
102a0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,138.0
102a8,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,1,130.0
102b8,4,0,1,0,0,0,1,0,0,0,3,0,0,0,1,1,140.0
102c8,9,0,4,1,0,0,1,0,0,1,6,0,1,0,1,1,130.0
102ec,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,130.0
102f4,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,102.0
10300,5,2,2,0,0,0,0,1,0,0,5,0,0,0,0,1,102.0
10314,7,2,4,0,0,0,0,1,0,0,6,1,0,0,0,1,132.0
10330,9,2,4,0,0,0,1,0,0,0,5,3,0,0,1,1,104.0
10354,7,2,3,0,0,0,0,1,0,0,6,1,0,0,0,1,129.0
10370,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,102.0
10388,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,139.0
103a0,8,2,3,0,0,0,1,0,0,0,3,4,0,0,1,2,197.0
103c0,54,0,5,0,0,0,1,0,0,0,21,16,16,0,1,11,103.0
10498,9,0,3,0,0,0,1,0,0,0,7,1,0,0,1,11,103.0
104bc,16,0,3,0,0,0,1,0,0,0,11,4,0,0,1,11,102.0
104fc,11,0,2,0,0,0,1,0,0,0,8,2,0,0,1,11,313.09090909090907
10528,7,0,2,0,0,0,1,0,0,0,6,0,0,0,1,11,72.18181818181819
10544,4,0,0,0,0,0,1,0,0,0,1,1,1,0,1,11,274.09090909090907
10554,4,0,0,0,0,0,1,0,0,0,1,1,1,0,1,22,324.95454545454544
10564,4,0,0,0,0,0,1,0,0,0,1,1,1,0,1,44,242.70454545454547
10574,4,0,0,0,0,0,1,0,0,0,1,1,1,0,1,88,102.01136363636364
10584,7,0,1,0,0,0,1,0,0,0,6,0,0,0,1,176,350.8806818181818
105a0,4,0,0,0,0,0,1,0,0,0,2,0,1,0,1,176,126.07386363636364
105b0,6,0,1,0,0,0,1,0,0,0,3,1,1,0,1,176,128.5909090909091
105b8,4,0,0,0,0,0,1,0,0,0,2,0,1,0,1,88,102.01136363636364
105c8,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,264,126.12121212121212
105d0,4,0,0,0,0,0,1,0,0,0,2,0,1,0,1,88,102.0
105e0,6,0,1,0,0,0,1,0,0,0,3,1,1,0,1,88,288.32954545454544
105e8,4,0,0,0,0,0,1,0,0,0,2,0,1,0,1,44,102.02272727272727
105f8,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,132,166.21969696969697
10600,4,0,0,0,0,0,1,0,0,0,2,0,1,0,1,44,160.95454545454547
10610,6,0,1,0,0,0,1,0,0,0,3,1,1,0,1,44,219.52272727272728
10618,4,0,0,0,0,0,1,0,0,0,2,0,1,0,1,22,102.04545454545455
10628,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,66,222.06060606060606
10630,4,0,0,0,0,0,1,0,0,0,2,0,1,0,1,22,287.95454545454544
10640,6,0,1,0,0,0,1,0,0,0,3,1,1,0,1,22,102.0
10648,4,0,0,0,0,0,1,0,0,0,2,0,1,0,1,11,359.27272727272725
10658,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,33,282.09090909090907
10660,8,0,3,0,0,1,0,0,0,0,6,1,0,1,0,11,323.3636363636364
1066c,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,2,284.0
10680,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,2,268.5
10698,16,5,2,0,0,0,1,0,0,0,4,11,0,0,1,220,102.34545454545454
106d8,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,220,145.69545454545454
106e4,7,0,2,0,0,0,1,0,0,0,4,2,0,0,1,220,141.95454545454547
10700,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,220,90.00909090909092
1070c,7,0,2,0,0,0,1,0,0,0,4,2,0,0,1,220,237.02272727272728
10728,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,220,126.73181818181818
10734,9,0,2,0,0,0,1,0,0,0,6,2,0,0,1,220,135.7
10758,10,0,4,0,0,0,1,0,0,0,8,0,1,0,1,220,103.2
10780,9,0,8,0,0,0,1,0,0,0,8,0,0,0,1,220,125.05909090909091
107a4,10,0,6,0,0,0,1,0,0,0,8,0,1,0,1,220,146.21818181818182
107cc,11,0,6,0,0,0,1,0,0,0,8,2,0,0,1,220,150.33636363636364
107f8,9,0,6,0,0,0,1,0,0,0,8,0,0,0,1,220,142.03181818181818
1081c,9,0,6,0,0,0,1,0,0,0,8,0,0,0,1,220,348.5681818181818
10840,10,0,4,0,0,0,1,0,0,0,8,0,1,0,1,220,154.31363636363636
10868,9,0,6,0,0,0,1,0,0,0,8,0,0,0,1,220,358.24545454545455
1088c,9,0,8,0,0,0,1,0,0,0,8,0,0,0,1,220,103.0
108b0,10,0,4,0,0,0,1,0,0,0,8,0,1,0,1,220,103.1
108d8,9,0,8,0,0,0,1,0,0,0,8,0,0,0,1,220,417.05
108fc,10,0,6,0,0,0,1,0,0,0,8,0,1,0,1,220,143.19545454545454
10924,9,0,2,0,0,0,1,0,0,0,6,2,0,0,1,220,166.3181818181818
10948,9,0,4,0,0,0,1,0,0,0,8,0,0,0,1,220,103.0
1096c,9,0,6,0,0,0,1,0,0,0,8,0,0,0,1,220,314.57272727272726
10990,9,0,8,0,0,0,1,0,0,0,8,0,0,0,1,220,103.0
109b4,7,0,6,0,0,0,1,0,0,0,6,0,0,0,1,220,160.95909090909092
109d0,5,0,2,0,0,0,1,0,0,0,3,1,0,0,1,220,122.58636363636364
109e4,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,220,98.37727272727273
109ec,6,0,1,0,0,0,1,0,0,0,4,1,0,0,1,187,141.94652406417111
10a04,6,0,1,0,0,0,1,0,0,0,5,0,0,0,1,187,343.24064171122996
10a1c,9,0,6,0,0,0,1,0,0,0,8,0,0,0,1,187,134.5614973262032
10a40,7,0,6,0,0,0,1,0,0,0,6,0,0,0,1,187,167.06951871657753
10a5c,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,187,125.8663101604278
10a68,4,0,3,0,0,0,1,0,0,0,3,0,0,0,1,187,194.81283422459893
10a78,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,187,227.42245989304814
10a84,4,0,0,0,0,0,1,0,0,0,2,1,0,0,1,187,133.06417112299465
10a94,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,187,128.77540106951872
10aa0,5,0,2,0,0,0,1,0,0,0,3,0,1,0,1,187,131.06951871657753
10ab4,6,0,2,0,0,0,1,0,0,0,4,0,1,0,1,187,102.0
10acc,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,187,321.88770053475935
10ad8,4,0,3,0,0,0,1,0,0,0,3,0,0,0,1,187,233.9090909090909
10ae8,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,187,187.59893048128342
10af4,8,0,2,0,0,0,1,0,0,0,6,0,1,0,1,187,102.0
10b14,9,0,8,0,0,0,1,0,0,0,8,0,0,0,1,187,386.6631016042781
10b38,7,0,6,0,0,0,1,0,0,0,6,0,0,0,1,187,132.84491978609626
10b54,6,0,1,0,0,0,1,0,0,0,4,1,0,0,1,187,128.24064171122996
10b6c,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,187,130.62566844919786
10b78,5,0,2,0,0,0,1,0,0,0,3,0,1,0,1,187,144.02139037433156
10b8c,6,0,2,0,0,0,1,0,0,0,4,0,1,0,1,187,102.23529411764706
10ba4,6,0,3,0,0,0,1,0,0,0,4,0,1,0,1,187,102.0
10bbc,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,187,102.0
10bc8,4,0,3,0,0,0,1,0,0,0,3,0,0,0,1,187,167.51871657754012
