basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,80.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,134.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,132.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,103.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,131.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,9,1,3,0,0,0,1,0,0,0,3,5,0,0,1,88,103.0
101b4,37,0,11,0,0,1,0,0,0,5,29,2,0,1,0,13200,106.28575757575757
1023c,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,88,285.7613636363636
10248,5,1,3,0,0,0,0,1,0,0,5,0,0,0,0,88,46.28409090909091
1025c,12,1,2,0,0,0,1,0,0,0,4,7,0,0,1,88,103.0
1028c,42,0,18,0,0,1,0,0,0,8,30,3,0,1,0,13200,73.22818181818182
10328,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,88,45.09090909090909
10334,8,1,2,0,0,0,0,1,0,0,7,1,0,0,0,88,118.14772727272727
10354,8,1,2,0,0,0,1,0,0,0,2,5,0,0,1,88,44.88636363636363
10374,3,0,0,0,0,0,1,0,0,0,0,2,0,0,1,4400,22.978636363636365
10380,26,0,11,0,0,1,0,0,0,5,18,2,0,1,0,220000,73.1449090909091
103dc,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,4400,27.108636363636364
