basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,80.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,139.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,139.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,138.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,103.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,20,1,7,0,0,0,1,0,0,1,11,7,0,0,1,1128,122.2517730496454
101e0,8,0,2,0,0,1,0,0,0,0,6,1,0,1,0,2508,101.95693779904306
10200,20,0,5,0,0,1,0,0,0,4,15,0,0,1,0,2364,107.45642978003384
10250,18,0,4,0,0,1,0,0,0,3,13,1,0,1,0,996,122.28614457831326
1025c,15,0,3,0,0,1,0,0,0,3,11,0,0,1,0,1512,103.97949735449735
10298,20,0,5,0,0,1,0,0,0,3,14,2,0,1,0,2364,113.93062605752961
102c8,8,0,3,0,0,1,0,0,0,1,6,0,0,1,0,1128,118.52304964539007
102e8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,984,122.1239837398374
102ec,11,1,4,0,0,0,0,1,0,1,9,1,0,0,0,144,100.11805555555556
102f0,10,1,3,0,0,0,0,1,0,1,8,1,0,0,0,984,128.60569105691056
10318,26,2,13,0,0,0,1,0,0,5,10,5,5,0,1,12,103.0
