basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,81.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,138.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,134.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,131.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,102.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
101cc,9,2,4,0,0,0,1,0,0,0,5,3,0,0,1,1,131.0
101f0,7,2,3,0,0,0,0,1,0,0,6,1,0,0,0,1,136.0
1020c,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,104.0
10224,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,138.0
1023c,8,2,3,0,0,0,1,0,0,0,3,4,0,0,1,2,61.5
1025c,11,0,7,0,0,0,1,0,0,0,7,0,3,0,1,47,21.76595744680851
10288,11,0,7,0,0,0,1,0,0,0,7,0,3,0,1,47,47.42553191489362
102b4,7,0,3,0,0,0,1,0,0,0,3,0,3,0,1,47,46.680851063829785
102d0,8,0,3,0,0,1,0,0,0,0,6,1,0,1,0,47,21.76595744680851
102dc,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,2,61.5
102f0,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,2,166.5
10308,8,2,4,0,0,0,0,1,0,0,6,2,0,0,0,1,132.0
