basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,80.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,130.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,137.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,134.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,137.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,16,2,9,0,0,0,1,0,0,0,9,5,1,0,1,52,45.67307692307692
101d0,9,0,7,0,0,0,1,0,0,0,7,0,1,0,1,52,21.596153846153847
101f4,28,0,14,0,0,0,1,0,0,0,18,5,4,0,1,52,118.25
10264,5,0,0,0,0,0,1,0,0,0,3,1,0,0,1,52,21.596153846153847
10278,18,0,9,0,0,0,1,0,0,2,13,2,0,0,1,52,72.67307692307692
102c0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,52,45.67307692307692
102c8,14,0,1,0,0,0,1,0,0,1,6,6,0,0,1,832,101.33653846153847
10300,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,53248,34.67345252403846
10310,15,0,3,4,0,0,1,0,0,3,9,2,0,0,1,13312,83.4073016826923
1034c,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,39936,76.75821314102564
1035c,22,0,8,5,0,0,1,0,0,4,15,2,0,0,1,13312,27.614182692307693
