basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,57.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,80.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,52.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,55.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,131.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,137.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,102.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,130.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,102.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,104.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,139.0
10190,16,2,3,1,0,0,1,0,0,0,7,8,0,0,1,476,44.884453781512605
101d0,50,0,12,4,0,1,0,0,0,4,39,6,0,1,0,3808,30.250525210084035
1028c,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,476,45.17016806722689
10298,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,476,42.20378151260504
10398,5,2,2,0,0,0,0,1,0,0,5,0,0,0,0,476,20.228991596638654
103ac,8,1,2,0,0,0,1,0,0,0,2,5,0,0,1,952,44.94642857142857
103cc,42,0,19,3,0,1,0,0,0,4,34,3,0,1,0,15232,24.35642069327731
10464,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,952,36.54096638655462
10474,28,0,1,0,0,0,1,0,0,0,17,10,0,0,1,952,33.63340336134454
104e4,731,0,283,136,0,1,0,0,0,192,511,27,0,1,0,1904,81.05567226890756
11040,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,952,45.23634453781513
11050,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,952,39.82457983193277
11054,2137,0,835,400,0,1,0,0,0,560,1510,66,0,1,0,2856,24.771358543417367
