basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,12475.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,80.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,137.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,103.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,131.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,139.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,7,2,4,0,0,0,0,1,0,0,6,1,0,0,0,1,139.0
101ac,9,2,4,0,0,0,1,0,0,0,5,3,0,0,1,1,140.0
101d0,7,2,3,0,0,0,0,1,0,0,6,1,0,0,0,1,138.0
101ec,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,131.0
10204,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,152.0
1021c,11,1,6,0,0,0,1,0,0,1,5,3,1,0,1,2,207.5
10248,10,0,5,0,0,1,0,0,0,0,6,3,0,1,0,1232,133.26623376623377
10270,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,103.1801948051948
10284,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,1232,350.39935064935065
10298,9,0,2,0,0,1,0,0,0,0,6,2,0,1,0,1232,134.94237012987014
10358,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,117.13555194805195
1036c,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,125.43587662337663
10380,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,1232,152.61201298701297
10394,9,0,2,0,0,1,0,0,0,0,6,2,0,1,0,1232,315.4001623376623
10454,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,113.00974025974025
10468,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,159.61769480519482
1047c,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,1232,103.71509740259741
10490,9,0,2,0,0,1,0,0,0,0,6,2,0,1,0,1232,118.15503246753246
10550,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,138.48214285714286
10564,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,173.0625
10578,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,1232,325.18506493506493
1058c,9,0,2,0,0,1,0,0,0,0,6,2,0,1,0,1232,113.30357142857143
1064c,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,150.9366883116883
10660,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,113.2159090909091
10674,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,1232,119.02922077922078
10688,9,0,2,0,0,1,0,0,0,0,6,2,0,1,0,1232,129.21428571428572
10748,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,132.4715909090909
1075c,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,145.06655844155844
10770,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,1232,137.00974025974025
10784,9,0,2,0,0,1,0,0,0,0,6,2,0,1,0,1232,344.00892857142856
10844,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,112.88311688311688
10858,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,129.0478896103896
1086c,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,123.53652597402598
10888,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,127.15990259740259
108a4,11,0,2,0,0,1,0,0,0,0,6,2,2,1,0,1232,137.75162337662337
1096c,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,103.1948051948052
10980,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,133.72483766233765
10994,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,135.67613636363637
109b0,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,122.16396103896103
109cc,11,0,2,0,0,1,0,0,0,0,6,2,2,1,0,1232,320.43993506493507
10a94,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,280.0560064935065
10aa8,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,280.06737012987014
10abc,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,308.1193181818182
10ad8,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,113.04951298701299
10af4,11,0,2,0,0,1,0,0,0,0,6,2,2,1,0,1232,122.04626623376623
10bbc,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,145.41314935064935
10bd0,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,147.3271103896104
10be4,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,129.58441558441558
10c00,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,103.01866883116882
10c1c,11,0,2,0,0,1,0,0,0,0,6,2,2,1,0,1232,103.12581168831169
10ce4,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,128.79707792207793
10cf8,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,103.0836038961039
10d0c,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,141.23782467532467
10d28,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,125.08279220779221
10d44,11,0,2,0,0,1,0,0,0,0,6,2,2,1,0,1232,103.10795454545455
10e0c,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,129.23782467532467
10e20,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,113.13392857142857
10e34,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,117.12337662337663
10e50,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,125.02922077922078
10e6c,11,0,2,0,0,1,0,0,0,0,6,2,2,1,0,1232,125.04707792207792
10f34,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,122.18587662337663
10f48,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,142.0827922077922
10f5c,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,100.6590909090909
10f78,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,119.34577922077922
10f94,11,0,2,0,0,1,0,0,0,0,6,2,2,1,0,1232,127.48782467532467
1105c,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,274.163961038961
11070,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,1232,362.0413961038961
11084,7,0,2,0,0,1,0,0,0,0,4,0,2,1,0,1232,113.1323051948052
