basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,80.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,130.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,137.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,134.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,137.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,20,2,10,1,1,0,0,1,0,2,14,4,0,0,0,21,232.0
101e0,5,0,1,1,0,1,0,0,0,0,3,1,0,1,0,21,130.23809523809524
101fc,5,2,2,0,0,0,0,1,0,0,5,0,0,0,0,21,194.04761904761904
10210,6,2,2,0,0,1,0,0,0,0,3,2,0,1,0,3997,147.84413309982486
10228,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,67.42857142857143
1022c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,21,171.76190476190476
1025c,17,2,7,2,0,0,0,1,0,1,14,2,0,0,0,3997,112.08156117087816
102a0,23,2,10,2,0,0,0,1,0,1,17,5,0,0,0,21,102.0
102fc,7,2,3,0,0,0,1,0,0,0,3,3,0,0,1,3983,153.60607582224455
10318,5,0,1,1,0,1,0,0,0,0,3,1,0,1,0,3983,96.165453175998
1032c,4,0,1,1,0,1,0,0,0,0,3,0,0,1,0,1862,109.66326530612245
1033c,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14,263.64285714285717
