basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,57.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,67.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,52.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,55.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,131.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,180.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,138.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,135.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,138.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,104.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,138.0
10190,18,1,8,0,0,0,1,0,0,0,9,8,0,0,1,2,181.5
101d8,9,0,4,0,0,1,0,0,0,1,6,1,0,1,0,65896,33.90468313706447
101e4,6,0,3,0,0,1,0,0,0,1,4,0,0,1,0,65538,23.7466355396869
101fc,5,0,1,0,0,0,1,0,0,0,2,2,0,0,1,65538,31.923510024718485
10210,8,0,3,0,0,1,0,0,0,1,6,0,0,1,0,379110,21.259969402020523
10230,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,372088,21.006415149104512
10234,25,0,11,0,0,1,0,0,0,5,18,1,0,1,0,119554,29.549701390166785
10278,8,0,3,0,0,1,0,0,0,1,6,0,0,1,0,372088,25.29878684612242
10298,8,0,3,0,0,1,0,0,0,1,6,0,0,1,0,372088,21.221291737438456
102b8,8,0,3,0,0,1,0,0,0,0,6,1,0,1,0,313574,87.15833583141459
102c4,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,65538,32.244117916323354
102d8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,61.5
102dc,5,0,3,0,0,1,0,0,0,0,4,0,0,1,0,7022,36.023639988607236
