basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,57.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,67.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,52.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,55.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,132.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,102.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,153.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,138.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,103.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,104.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,139.0
10190,6,1,3,0,0,0,1,0,0,0,3,2,0,0,1,2370,97.01645569620253
101a8,15,0,6,1,0,1,0,0,0,1,11,2,0,1,0,912,109.125
101d4,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,2370,105.58902953586498
101e4,5,1,2,0,0,0,0,1,0,0,5,0,0,0,0,2370,71.63544303797468
101f8,13,3,4,0,0,0,1,0,0,0,5,7,0,0,1,6,102.0
1022c,9,0,3,0,0,0,1,0,0,1,5,2,0,0,1,60,89.7
10250,5,0,1,0,0,1,0,0,0,1,3,0,0,1,0,270,68.49259259259259
10264,22,0,12,0,0,0,1,0,0,4,16,0,1,0,1,270,80.64814814814815
102bc,11,0,4,2,0,0,1,0,0,2,7,0,1,0,1,270,30.211111111111112
102fc,10,0,2,1,0,1,0,0,0,1,6,2,0,1,0,270,67.62962962962963
10318,3,0,0,1,0,1,0,0,0,0,2,0,0,1,0,60,89.7
10324,15,0,9,0,0,0,1,0,0,2,11,0,1,0,1,60,114.93333333333334
10360,18,0,5,2,0,1,0,0,0,1,13,2,1,1,0,60,96.56666666666666
10394,5,0,0,2,0,1,0,0,0,0,4,0,0,1,0,6,227.16666666666666
