basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,80.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,129.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,137.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,138.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,130.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,8,1,2,0,0,1,0,0,0,0,4,3,0,1,0,3000,107.519
101b0,11,0,0,0,0,0,1,0,0,0,7,3,0,0,1,30,706.3333333333334
101dc,16,0,0,0,0,1,0,0,0,0,12,3,0,1,0,2970,106.54680134680135
1021c,8,1,2,0,0,0,0,1,0,0,7,1,0,0,0,2940,111.11224489795919
1022c,4,1,2,0,0,0,0,1,0,0,4,0,0,0,0,60,166.91666666666666
10c24,8,1,2,0,0,1,0,0,0,0,4,3,0,1,0,31,305.2903225806452
10c44,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,31,246.83870967741936
10c54,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,31,300.3225806451613
10c60,7,1,2,0,0,0,0,1,0,0,6,1,0,0,0,31,269.35483870967744
10cd4,9,1,2,0,0,1,0,0,0,0,5,3,0,1,0,30,103.0
10cf8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30,308.8666666666667
