basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,81.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,130.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,137.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,102.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,131.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,7,2,4,0,0,0,0,1,0,0,6,1,0,0,0,1,139.0
101ac,9,2,4,0,0,0,1,0,0,0,5,3,0,0,1,1,140.0
101d0,7,2,3,0,0,0,0,1,0,0,6,1,0,0,0,1,138.0
101ec,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,102.0
10204,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,137.0
1021c,8,2,3,0,0,0,1,0,0,0,3,4,0,0,1,2,213.5
1023c,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14,239.64285714285714
10240,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,14,67.5
10248,5,0,4,0,0,0,1,0,0,0,4,0,0,0,1,14,251.71428571428572
1025c,7,0,5,0,0,0,1,0,0,0,6,0,0,0,1,14,221.78571428571428
10278,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,14,1066.4285714285713
10280,6,0,4,0,0,0,1,0,0,0,4,0,1,0,1,14,25.928571428571427
