basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,80.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,137.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,102.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,130.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,139.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,7,2,4,0,0,0,0,1,0,0,6,1,0,0,0,1,139.0
101ac,9,2,4,0,0,0,1,0,0,0,5,3,0,0,1,1,140.0
101d0,5,2,2,0,0,0,0,1,0,0,5,0,0,0,0,1,140.0
101e4,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,138.0
101fc,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,131.0
10214,8,2,3,0,0,0,1,0,0,0,3,4,0,0,1,2,92.5
10234,5,0,2,0,0,0,1,0,0,0,2,0,2,0,1,48,41.020833333333336
10248,8,0,4,0,0,0,1,0,0,1,5,1,0,0,1,48,98.3125
10268,3,0,0,0,0,0,1,0,0,0,0,2,0,0,1,48,45.791666666666664
10274,11,0,5,0,0,0,1,0,0,2,7,1,0,0,1,1680,47.239285714285714
102a0,11,0,5,0,0,0,1,0,0,1,6,3,0,0,1,1680,114.97261904761905
102cc,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,36960,22.556493506493506
