start_basic_block,end_basic_block,num_basic_blocks,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,total_time
172e0,17318,2.0,16.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,3.0,0.0,0.0,1.0,520.0
172e0,1754c,3.0,43.0,3.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.0,16.0,0.0,0.0,1.0,777.0
172e0,START,4.0,43.0,3.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.0,16.0,0.0,0.0,1.0,777.0
12304,12370,5.0,24.0,0.0,6.0,1.0,1.0,2.0,0.0,3.0,0.0,3.0,9.0,8.0,2.0,2.0,0.0,1349.0
111b0,11454,2.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,66165.0
11e3c,11e98,2.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,31157.0
11e3c,11e78,5.0,18.0,0.0,7.0,2.0,0.0,3.0,2.0,0.0,0.0,7.0,6.0,0.0,0.0,3.0,2.0,110427.0
11e3c,11ea0,3.0,7.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,55169.0
11e3c,11e6c,4.0,10.0,0.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,1.0,84996.0
11e98,11e78,4.0,17.0,0.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,6.0,0.0,0.0,2.0,2.0,83621.0
11e98,11ea0,2.0,6.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,28362.999999999996
11e98,11e6c,3.0,9.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,58190.0
