start_basic_block,end_basic_block,num_basic_blocks,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,total_time
17254,0,4.0,43.0,3.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.0,16.0,0.0,0.0,1.0,769.0
17254,1728c,2.0,16.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,3.0,0.0,0.0,1.0,508.0
17254,174c0,3.0,43.0,3.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.0,16.0,0.0,0.0,1.0,769.0
17254,START,4.0,43.0,3.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.0,16.0,0.0,0.0,1.0,769.0
12268,122d4,8.0,32.0,0.0,7.0,3.0,0.0,6.0,0.0,2.0,0.0,3.0,10.0,12.0,1.0,6.0,0.0,3612.0
12268,122a4,7.0,23.0,0.0,7.0,3.0,0.0,6.0,0.0,1.0,0.0,3.0,9.0,4.0,1.0,6.0,0.0,3039.0
12434,14148,6.0,33.0,8.0,10.0,3.0,0.0,4.0,1.0,1.0,0.0,5.0,14.0,8.0,1.0,4.0,1.0,1313.0
12434,14154,7.0,34.0,8.0,10.0,3.0,0.0,4.0,2.0,1.0,0.0,5.0,14.0,8.0,1.0,4.0,2.0,1444.0
12434,12364,4.0,28.0,7.0,9.0,3.0,0.0,3.0,0.0,1.0,0.0,5.0,12.0,7.0,1.0,3.0,0.0,979.9999999999999
12434,123f8,5.0,31.0,8.0,10.0,3.0,0.0,3.0,1.0,1.0,0.0,5.0,13.0,8.0,1.0,3.0,1.0,1175.0
12434,12450,2.0,10.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,775.9999999999999
12434,124c0,3.0,12.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,877.9999999999999
12434,13e40,8.0,65.0,16.0,19.0,3.0,0.0,4.0,3.0,1.0,0.0,5.0,24.0,27.0,2.0,4.0,3.0,1582.0
11740,11784,3.0,14.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,3.0,0.0,8245.0
11740,1177c,2.0,13.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,0.0,6877.0
11b1c,11d18,3.0,25.0,4.0,6.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,15.0,4.0,0.0,3.0,0.0,2952404.0
11b1c,11b70,2.0,24.0,4.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,15.0,4.0,0.0,2.0,0.0,1822761.0
11790,117a8,2.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,395.0
11790,117c0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,600.0
117a8,117c0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,400.0
11788,11790,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,342.0
11788,117a8,3.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,537.0
11788,117c0,4.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,742.0
11f10,11f50,3.0,18.0,4.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,14.0,0.0,0.0,2.0,0.0,2311267.0
11f10,11f34,2.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1959859.0000000002
1021c,102dc,2.0,13.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0,1.0,850.0
113f0,11474,5.0,46.0,7.0,13.0,6.0,0.0,5.0,0.0,0.0,0.0,5.0,29.0,7.0,0.0,5.0,0.0,753133.0
113f0,11548,6.0,48.0,7.0,13.0,6.0,0.0,6.0,0.0,0.0,0.0,5.0,30.0,7.0,0.0,6.0,0.0,825597.0
113f0,1142c,2.0,18.0,7.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,2.0,0.0,233115.0
