start_basic_block,end_basic_block,num_basic_blocks,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,total_time
14f8c,16ed4,7.0,21.0,4.0,7.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,5.0,1.0,1574.0
14f8c,16eac,6.0,18.0,4.0,5.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,5.0,0.0,1342.0
14f8c,16e98,4.0,14.0,4.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,3.0,0.0,896.0
14f8c,16ea4,5.0,16.0,4.0,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,1038.0
14f8c,14f9c,2.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,486.99999999999994
14f8c,16e80,3.0,11.0,4.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,665.0
16f44,14fa0,2.0,11.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,585.0
142e8,16f44,2.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,589.0
142e8,14fa0,3.0,12.0,4.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,808.0
142e4,16f44,4.0,11.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,1153.0
142e4,14fa0,5.0,15.0,4.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,11.0,1.0,0.0,1.0,1.0,1372.0
142e4,142e8,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,787.0
