start_basic_block,end_basic_block,num_basic_blocks,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,total_time
160f8,14290,8.0,20.0,4.0,4.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0,13.0,1.0,0.0,3.0,2.0,1861.0
160f8,16128,3.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,847.0
160f8,135d4,4.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,989.0
160f8,16114,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,705.0
160f8,135d8,6.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,1439.0
160f8,16134,7.0,16.0,4.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,11.0,1.0,0.0,2.0,2.0,1638.0
160f8,1612c,5.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1297.0
1427c,1609c,6.0,18.0,4.0,5.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,5.0,0.0,1630.0
1427c,160c4,7.0,21.0,4.0,7.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,5.0,1.0,1851.0
1427c,1428c,2.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,598.0
1427c,16070,3.0,11.0,4.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,740.0
1427c,16094,5.0,16.0,4.0,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,1323.0
1427c,16088,4.0,14.0,4.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,3.0,0.0,961.0
16128,14290,6.0,16.0,4.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,11.0,1.0,0.0,1.0,2.0,1156.0
16128,135d4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,284.0
