start_basic_block,end_basic_block,num_basic_blocks,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,total_time
1b7d8,1ba0c,2.0,31.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,13.0,0.0,0.0,1.0,357.0
1b7d8,START,3.0,31.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,13.0,0.0,0.0,1.0,357.0
1b7d8,0,3.0,31.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,13.0,0.0,0.0,1.0,357.0
1ba0c,START,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,173.0
1ba0c,0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,173.0
169ec,16a58,5.0,24.0,0.0,6.0,1.0,1.0,2.0,0.0,3.0,0.0,3.0,9.0,8.0,2.0,2.0,0.0,898.0
16bb8,188d8,7.0,34.0,8.0,10.0,3.0,0.0,4.0,2.0,1.0,0.0,5.0,14.0,8.0,1.0,4.0,2.0,1017.0
16bb8,185c4,8.0,65.0,16.0,19.0,3.0,0.0,4.0,3.0,1.0,0.0,5.0,24.0,27.0,2.0,4.0,3.0,1149.0
16bb8,188cc,6.0,33.0,8.0,10.0,3.0,0.0,4.0,1.0,1.0,0.0,5.0,14.0,8.0,1.0,4.0,1.0,886.0
16bb8,16c44,3.0,12.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,506.99999999999994
16bb8,16ae8,4.0,28.0,7.0,9.0,3.0,0.0,3.0,0.0,1.0,0.0,5.0,12.0,7.0,1.0,3.0,0.0,610.0
16bb8,16bd4,2.0,10.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,366.99999999999994
16bb8,16b7c,5.0,31.0,8.0,10.0,3.0,0.0,3.0,1.0,1.0,0.0,5.0,13.0,8.0,1.0,3.0,1.0,748.0
16750,16ac8,9.0,37.0,5.0,17.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,26.0,3.0,1.0,4.0,3.0,36261.0
16750,14f7c,7.0,26.0,2.0,12.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,20.0,0.0,1.0,4.0,1.0,36029.0
16750,16b98,8.0,29.0,2.0,13.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,22.0,0.0,1.0,4.0,2.0,36159.0
16750,14f74,6.0,23.0,2.0,11.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,4.0,0.0,35899.0
